Country/Region,Confirmed,Deaths,Death_Rate_Pct
Yemen,1691,483,28.56
United Kingdom,301708,45844,15.19
Belgium,66428,9822,14.79
Italy,246286,35112,14.26
France,220352,30212,13.71
Hungary,4448,596,13.4
Netherlands,53413,6160,11.53
Mexico,395489,44022,11.13
Spain,272421,28432,10.44
Canada,116458,8944,7.68
Sweden,79395,5700,7.18
Ecuador,81161,5532,6.82
Ireland,25892,1764,6.81
Sudan,11424,720,6.3
Liberia,1167,72,6.17
Niger,1132,69,6.1
Switzerland,34477,1978,5.74
Slovenia,2087,116,5.56
Iran,293606,15912,5.42
China,86783,4656,5.37
Egypt,92482,4652,5.03
Mali,2513,124,4.93
Burkina Faso,1100,53,4.82
Indonesia,100303,4838,4.82
Romania,45902,2206,4.81
Greece,4227,202,4.78
Peru,389717,18418,4.73
North Macedonia,10213,466,4.56
Denmark,13761,613,4.45
Finland,7398,329,4.45
Germany,207112,9125,4.41
Algeria,27973,1163,4.16
Iraq,112585,4458,3.96
Lithuania,2019,80,3.96
Kyrgyzstan,33296,1301,3.91
Guatemala,45309,1761,3.89
Poland,43402,1676,3.86
Bolivia,71181,2647,3.72
Sierra Leone,1783,66,3.7
Brazil,2442375,87618,3.59
Afghanistan,36263,1269,3.5
Austria,20558,713,3.47
United States,4290259,148011,3.45
Cuba,2532,87,3.44
Tunisia,1455,50,3.44
Portugal,50299,1719,3.42
Colombia,257101,8777,3.41
Estonia,2034,69,3.39
Bulgaria,10621,347,3.27
Moldova,23154,748,3.23
Japan,31142,998,3.2
Nicaragua,3439,108,3.14
Zambia,4552,140,3.08
Albania,4880,144,2.95
Honduras,39741,1166,2.93
Somalia,3196,93,2.91
Uruguay,1202,35,2.91
Croatia,4881,139,2.85
Bosnia and Herzegovina,10498,294,2.8
Norway,9132,255,2.79
El Salvador,15035,408,2.71
Malawi,3664,99,2.7
Chile,347923,9187,2.64
Latvia,1219,31,2.54
Mauritania,6208,156,2.51
Kosovo,7413,185,2.5
Turkey,227019,5630,2.48
Ukraine,67096,1636,2.44
Czechia,15516,373,2.4
Philippines,82040,1945,2.37
DR Congo,8844,208,2.35
Cameroon,17110,391,2.29
India,1480073,33408,2.26
Libya,2827,64,2.26
Serbia,24141,543,2.25
Haiti,7340,158,2.15
Panama,61442,1322,2.15
Pakistan,274289,5842,2.13
South Korea,14203,300,2.11
Nigeria,41180,860,2.09
South Sudan,2305,46,2.0
Senegal,9764,194,1.99
Benin,1770,35,1.98
Armenia,37390,711,1.9
Argentina,167416,3059,1.83
Cyprus,1060,19,1.79
Luxembourg,6321,112,1.77
Thailand,3297,58,1.76
Congo (Brazzaville),3200,54,1.69
Dominican Republic,64156,1083,1.69
Equatorial Guinea,3071,51,1.66
Russia,816680,13334,1.63
Suriname,1483,24,1.62
Kenya,17975,285,1.59
Ethiopia,14547,228,1.57
Montenegro,2893,45,1.56
South Africa,452529,7067,1.56
Morocco,20887,316,1.51
Eswatini,2316,34,1.47
Georgia,1137,16,1.41
New Zealand,1557,22,1.41
Azerbaijan,30446,423,1.39
Malaysia,8904,124,1.39
Guinea-Bissau,1954,26,1.33
Zimbabwe,2704,36,1.33
Bangladesh,226225,2965,1.31
Lebanon,3882,51,1.31
Central African Republic,4599,59,1.28
Slovakia,2181,28,1.28
Djibouti,5059,58,1.15
Australia,15303,167,1.09
Saudi Arabia,268934,2760,1.03
Cabo Verde,2328,22,0.95
Paraguay,4548,43,0.95
Jordan,1176,11,0.94
Madagascar,9690,91,0.94
Venezuela,15988,146,0.91
Tajikistan,7235,60,0.83
Belarus,67251,538,0.8
Israel,63985,474,0.74
Costa Rica,15841,115,0.73
West Bank and Gaza,10621,78,0.73
Kazakhstan,84648,585,0.69
Gabon,7189,49,0.68
Kuwait,64379,438,0.68
Mozambique,1701,11,0.65
Guinea,7055,45,0.64
Cote d'Ivoire,15655,96,0.61
United Arab Emirates,59177,345,0.58
Uzbekistan,21209,121,0.57
Iceland,1854,10,0.54
Oman,77058,393,0.51
Ghana,33624,168,0.5
Maldives,3369,15,0.45
Namibia,1843,8,0.43
Sri Lanka,2805,11,0.39
Bahrain,39482,141,0.36
Rwanda,1879,5,0.27
Nepal,18752,48,0.26
Uganda,1128,2,0.18
Qatar,109597,165,0.15
Singapore,50838,27,0.05
