Country/Region,Confirmed,Recovered,Recovery_Rate_Pct
Djibouti,5059,4977,98.38
Iceland,1854,1823,98.33
New Zealand,1557,1514,97.24
Qatar,109597,106328,97.02
Malaysia,8904,8601,96.6
Norway,9132,8752,95.84
Estonia,2034,1923,94.54
Thailand,3297,3111,94.36
Finland,7398,6920,93.54
Cuba,2532,2351,92.85
Turkey,227019,210469,92.71
Chile,347923,319954,91.96
Germany,207112,190314,91.89
Denmark,13761,12605,91.6
South Korea,14203,13007,91.58
Bahrain,39482,36110,91.46
China,86783,78869,90.88
Niger,1132,1027,90.72
Ireland,25892,23364,90.24
Belarus,67251,60492,89.95
Singapore,50838,45692,89.88
Switzerland,34477,30900,89.62
Austria,20558,18246,88.75
United Arab Emirates,59177,52510,88.73
Guinea,7055,6257,88.69
Ghana,33624,29801,88.63
Jordan,1176,1041,88.52
Pakistan,274289,241026,87.87
Uganda,1128,986,87.41
Iran,293606,255144,86.9
Latvia,1219,1045,85.73
Kuwait,64379,55057,85.52
Cameroon,17110,14539,84.97
Burkina Faso,1100,926,84.18
Tajikistan,7235,6028,83.32
Slovenia,2087,1733,83.04
Saudi Arabia,268934,222936,82.9
Georgia,1137,922,81.09
Croatia,4881,3936,80.64
Italy,246286,198593,80.64
Cyprus,1060,852,80.38
Lithuania,2019,1620,80.24
Tunisia,1455,1157,79.52
Morocco,20887,16553,79.25
Uruguay,1202,951,79.12
Mexico,395489,303810,76.82
Azerbaijan,30446,23242,76.34
Luxembourg,6321,4825,76.33
Mali,2513,1913,76.12
Poland,43402,32856,75.7
Brazil,2442375,1846641,75.61
Sri Lanka,2805,2121,75.61
Maldives,3369,2547,75.6
Mauritania,6208,4653,74.95
Hungary,4448,3329,74.84
Slovakia,2181,1616,74.09
Oman,77058,57028,74.01
Sierra Leone,1783,1317,73.86
Russia,816680,602249,73.74
Czechia,15516,11428,73.65
Nepal,18752,13754,73.35
Nicaragua,3439,2492,72.46
Guatemala,45309,32455,71.63
Armenia,37390,26665,71.32
Japan,31142,21970,70.55
Portugal,50299,35375,70.33
Peru,389717,272547,69.93
Moldova,23154,16154,69.77
Afghanistan,36263,25198,69.49
Iraq,112585,77144,68.52
Algeria,27973,18837,67.34
Cabo Verde,2328,1550,66.58
Senegal,9764,6477,66.34
Cote d'Ivoire,15655,10361,66.18
Gabon,7189,4682,65.13
Madagascar,9690,6260,64.6
DR Congo,8844,5700,64.45
Kazakhstan,84648,54404,64.27
India,1480073,951166,64.26
Paraguay,4548,2905,63.87
Kyrgyzstan,33296,21205,63.69
Suriname,1483,925,62.37
Venezuela,15988,9959,62.29
Zambia,4552,2815,61.84
Australia,15303,9311,60.84
South Africa,452529,274925,60.75
Haiti,7340,4365,59.47
Benin,1770,1036,58.53
Indonesia,100303,58173,58.0
Panama,61442,35086,57.1
Albania,4880,2745,56.25
Romania,45902,25794,56.19
Bangladesh,226225,125683,55.56
Ukraine,67096,37202,55.45
Liberia,1167,646,55.36
Spain,272421,150376,55.2
Uzbekistan,21209,11674,55.04
North Macedonia,10213,5564,54.48
Kosovo,7413,4027,54.32
Bulgaria,10621,5585,52.58
Sudan,11424,5939,51.99
Rwanda,1879,975,51.89
El Salvador,15035,7778,51.73
Colombia,257101,131161,51.02
South Sudan,2305,1175,50.98
Yemen,1691,833,49.26
Somalia,3196,1543,48.28
Dominican Republic,64156,30204,47.08
Bosnia and Herzegovina,10498,4930,46.96
Malawi,3664,1645,44.9
Eswatini,2316,1025,44.26
Nigeria,41180,18203,44.2
Lebanon,3882,1709,44.02
Ethiopia,14547,6386,43.9
Kenya,17975,7833,43.58
Argentina,167416,72575,43.35
Ecuador,81161,34896,43.0
Israel,63985,27133,42.41
Guinea-Bissau,1954,803,41.1
Egypt,92482,34838,37.67
France,220352,81212,36.86
West Bank and Gaza,10621,3752,35.33
Central African Republic,4599,1546,33.62
Greece,4227,1374,32.51
Philippines,82040,26446,32.24
United States,4290259,1325804,30.9
Bolivia,71181,21478,30.17
Montenegro,2893,809,27.96
Equatorial Guinea,3071,842,27.42
Belgium,66428,17452,26.27
Congo (Brazzaville),3200,829,25.91
Costa Rica,15841,3824,24.14
Libya,2827,577,20.41
Zimbabwe,2704,542,20.04
Honduras,39741,5039,12.68
Namibia,1843,101,5.48
United Kingdom,301708,1437,0.48
Netherlands,53413,189,0.35
Canada,116458,0,0.0
Mozambique,1701,0,0.0
Serbia,24141,0,0.0
Sweden,79395,0,0.0
